,Country,Plant,Capacity (MW),Status,Status 2016 (done by Data4Good),Status 2017 (done by Data4Good),Status 2018 (done by Data4Good),Status 2019 (done by Data4Good),Combustion technology,Coal type,Latitude,Longitude,Annual CO2 (million tonnes / annum),Total annual CO2 (million tonnes / annum),Annual CO2 emissions (millions of tonnes) in 2016,Annual CO2 emissions (millions of tonnes) in 2017,Annual CO2 emissions (millions of tonnes) in 2018,Annual CO2 emissions (millions of tonnes) in 2019
10648,South Africa,Thabametsi power station,315,Pre-permit,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,-23.6717,27.528890000000004,1.472485917,0.0,,,,
10650,South Africa,Transalloy power station,150,Pre-permit,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,-25.8935,29.117559999999997,0.773550409,0.0,,,,
10651,South Africa,Tutuka power station,609,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,-26.7772,29.35238,3.220410022,19.32246013,19.32246013,19.32246013,19.32246013,19.32246013
10657,South Africa,Umbani power station,600,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,-26.255,29.263,2.578501364,0.0,,,,
10658,South Africa,Vedanta Power Plant,300,Cancelled,Not operating,Not operating,Operating,Operating,Subcritical,WSTBituminous,-23.534000000000002,27.23648,1.396039812,0.0,,,0.0,0.0
10661,South Korea,Anin power station,1 040,Construction,Not operating,Not operating,Not operating,Not operating,Ultra-super,Unknown,37.73316,128.9794,4.2485516389999995,0.0,,,,
10663,South Korea,Banwol CHP power station,56,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,37.31667,126.8333,0.348957185,0.348957185,0.348957185,0.348957185,0.348957185,0.348957185
10664,South Korea,Boryeong power station,500,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous/Sub-bit,36.40085,126.4908,2.6649768590000003,19.67748843,19.67748843,19.67748843,19.67748843,19.67748843
10672,South Korea,Bukpyung power station,595,Operating,Not operating,Operating,Operating,Operating,Supercritical,ANTH,37.48055,129.1433,2.527484405,0.0,,0.0,0.0,0.0
10674,South Korea,Dangjin Eco power station,580,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,37.055,126.4923,2.464767191,0.0,,,,
10676,South Korea,Dangjin power station,500,Operating,Operating,Operating,Operating,Operating,Supercritical,Bituminous,37.05513,126.5122,2.4527901180000002,26.69249042,26.69249042,26.69249042,26.69249042,26.69249042
10686,South Korea,Dongbu Hasla power station,1 000,Cancelled,Not operating,Not operating,Not operating,Not operating,Ultra-super,Unknown,37.739000000000004,128.98,4.085145806,0.0,,,,
10688,South Korea,Donghae power station,200,Operating,Operating,Operating,Operating,Operating,Subcritical,ANTH,37.4863,129.1473,1.230847581,2.461695162,2.461695162,2.461695162,2.461695162,2.461695162
10690,South Korea,Gimcheon CHP,30,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,36.13333,128.1,0.154710082,0.309420164,0.309420164,0.309420164,0.309420164,0.309420164
10692,South Korea,Goseong Green power station,1 040,Construction,Not operating,Not operating,Not operating,Not operating,Ultra-super,Unknown,34.918659999999996,128.1121,4.2485516389999995,0.0,,,,
10694,South Korea,GS Pocheon power station,170,Operating,Not operating,Not operating,Not operating,Operating,Unknown,Unknown,37.95878,127.2309,0.8669181159999999,0.0,,,,0.0
10695,South Korea,Gumi CHP power station,86,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,36.09714,128.372,0.517419274,0.517419274,0.517419274,0.517419274,0.517419274,0.517419274
10696,South Korea,Gunsan power station,123,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,35.95449,126.5361,0.624410534,0.624410534,0.624410534,0.624410534,0.624410534,0.624410534
10698,South Korea,Gunsan power station,75,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,ANTH,35.98333,126.7167,0.478052409,1.567728829,,,,
10699,South Korea,Hadong power station,500,Operating,Operating,Operating,Operating,Operating,Supercritical,Bituminous,34.95235,127.8199,2.4527901180000002,18.93586154,18.93586154,18.93586154,18.93586154,18.93586154
10707,South Korea,Honam power station,250,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,34.85443,127.7347,1.533528582,3.067057164,3.067057164,3.067057164,3.067057164,3.067057164
10709,South Korea,KOWEPO Hadong power station,1 000,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,35.06667,127.75,4.249598605,0.0,,,,
10711,South Korea,Kumho Yeosu CHP power station,119,Operating,Operating,Operating,Operating,Operating,Unknown,Unknown,34.8093,127.66,0.657412904,0.657412904,0.657412904,0.657412904,0.657412904,0.657412904
10712,South Korea,Kumho Yeosu CHP power station,145,Operating,Operating,Operating,Operating,Operating,Unknown,Unknown,34.81479,127.6453,0.739430157,0.739430157,0.739430157,0.739430157,0.739430157,0.739430157
10713,South Korea,Pohang power station,500,Shelved,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,36.03222,129.365,2.124799303,0.0,,,,
10714,South Korea,Pospower Samcheok power station,1 050,Construction,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,37.40687,129.1778,4.360443743,0.0,,,,
10718,South Korea,Samcheok Anthracite power station,100,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,ANTH,37.45,129.165,0.509744754,0.0,,,,
10719,South Korea,Samcheok Green power station,1 022,Operating,Operating,Operating,Operating,Operating,Ultra-super,Unknown,37.186,129.3418,4.175019014,4.175019014,4.175019014,4.175019014,4.175019014,4.175019014
10721,South Korea,Samchonpo power station,560,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,34.91072,128.1084,2.9612965719999997,16.59164684,16.59164684,16.59164684,16.59164684,16.59164684
10727,South Korea,Seagull power station,55,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,35.97786,126.6383,0.307271413,2.2080566680000002,2.2080566680000002,2.2080566680000002,2.2080566680000002,2.2080566680000002
10731,South Korea,Seocheon power station,1 000,Construction,Not operating,Not operating,Not operating,Not operating,Ultra-super,Unknown,36.14414,126.4959,4.085145806,0.0,,,,
10732,South Korea,Seocheon power station,200,Retired,Operating,Not operating,Not operating,Not operating,Subcritical,ANTH,36.13576,126.4961,1.274806424,2.549612848,2.549612848,,,
10734,South Korea,Shin Boryeong power station,1 000,Operating,Not operating,Operating,Operating,Operating,Ultra-super,Bituminous/Sub-bit,36.384609999999995,126.4862,4.053263815,0.0,,0.0,0.0,0.0
10736,South Korea,Taean power station,300,Operating,Operating,Operating,Operating,Operating,IGCC,Unknown,36.905570000000004,126.2346,1.226847512,5.4492984270000004,5.4492984270000004,5.4492984270000004,5.4492984270000004,5.4492984270000004
10737,South Korea,Taean power station,500,Operating,Operating,Operating,Operating,Operating,Supercritical,Bituminous,36.90332,126.2343,2.4527901180000002,18.73146236,18.73146236,18.73146236,18.73146236,18.73146236
10747,South Korea,Ulsan Hanju power station,40,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,35.562,129.351,0.240660127,0.541485287,0.541485287,0.541485287,0.541485287,0.541485287
10749,South Korea,Ulsan KZC power station,44,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,35.55,129.3167,0.26472614,0.26472614,0.26472614,0.26472614,0.26472614,0.26472614
10750,South Korea,Yeongheung power station,800,Operating,Operating,Operating,Operating,Operating,Supercritical,Bituminous,37.236540000000005,126.4378,3.5974255060000004,14.89177582,14.89177582,14.89177582,14.89177582,14.89177582
10754,South Korea,Yeongheung power station,870,Operating,Operating,Operating,Operating,Operating,Supercritical,Bituminous,37.236940000000004,126.4361,3.5565456710000003,7.113091342000001,7.113091342000001,7.113091342000001,7.113091342000001,7.113091342000001
10758,South Korea,Yeosu Hanwha power station,125,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,34.826,127.67399999999999,0.687443847,1.374887694,1.374887694,1.374887694,1.374887694,1.374887694
10760,South Korea,Yeosu power station,350,Operating,Operating,Operating,Operating,Operating,Unknown,Bituminous,34.83933,127.6908,1.6105580730000002,3.489500748,3.489500748,3.489500748,3.489500748,3.489500748
10762,South Korea,Yongdong power station,125,Retired,Operating,Not operating,Not operating,Not operating,Subcritical,ANTH,37.73896,128.9804,0.796754015,2.071560439,2.071560439,,,
10764,South Korea,Yosu Plant-1 power station,30,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,34.75,127.0,0.18694134899999998,0.37388269799999996,0.37388269799999996,0.37388269799999996,0.37388269799999996,0.37388269799999996
10766,Spain,Aboño power station,360,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,43.55356,-5.72185,2.055985906,4.9961303589999995,4.9961303589999995,4.9961303589999995,4.9961303589999995,4.9961303589999995
10768,Spain,Alcúdia power station,125,Retired,Operating,Operating,Operating,Not operating,Subcritical,Lignite/Bituminous,39.81075,3.091411,0.7927013490000001,3.177365685,3.177365685,3.177365685,3.177365685,
10772,Spain,Anllares power station,365,Retired,Operating,Operating,Not operating,Not operating,Subcritical,ANTH/Bituminous,42.839259999999996,-6.53328,2.1253066069999997,2.1253066069999997,2.1253066069999997,2.1253066069999997,,
10773,Spain,As Pontes power station,369,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,43.4414,-7.86258,2.1073855530000003,8.383853636,8.383853636,8.383853636,8.383853636,8.383853636
10777,Spain,Bahia de Algeciras power station,220,retired,Not operating,Not operating,Not operating,Not operating,Subcritical,HARD,36.184,-5.388,1.3495051519999999,0.0,,,,
10779,Spain,Cercs power station,160,Retired,Not operating,Not operating,Not operating,Not operating,unknown,Lignite,42.1757,1.856814,1.036176842,0.0,,,,
10780,Spain,Cogecan power station,45,Operating,Operating,Operating,Operating,Operating,unknown,HARD,43.34901,-4.04713,0.272958219,0.272958219,0.272958219,0.272958219,0.272958219,0.272958219
10781,Spain,Compostilla power station,141,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,ANTH/Bituminous,42.61218,-6.56455,0.8818243240000001,6.125541235,,,,
10786,Spain,Escatron power station,80,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,unknown,41.2971,-0.3399,0.498510264,0.0,,,,
10787,Spain,Escucha power station,160,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Lignite,40.79449,-0.81563,1.0478571620000001,0.0,,,,
10788,Spain,La Pereda Hunosa power station,50,Operating,Operating,Operating,Operating,Operating,Subcritical,unknown,43.2473,-5.75456,0.300825159,0.300825159,0.300825159,0.300825159,0.300825159,0.300825159
10789,Spain,La Robla Fenosa power station,284,Operating,Operating,Operating,Operating,Operating,Subcritical,ANTH/Bituminous,42.791990000000006,-5.63492,1.776156795,3.9363999489999997,3.9363999489999997,3.9363999489999997,3.9363999489999997,3.9363999489999997
10791,Spain,Lada power station,50,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,43.29636,-5.68254,0.306705716,2.0445637619999997,,,,
10794,Spain,Litoral de Almería power station,577,Operating,Operating,Operating,Operating,Operating,Subcritical,ANTH/Bituminous,36.97838,-1.905,3.110862284,6.123169,6.123169,6.123169,6.123169,6.123169
10796,Spain,Los Barrios power station,589,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,36.1828,-5.42,3.11464943,3.11464943,3.11464943,3.11464943,3.11464943,3.11464943
10798,Spain,Meirama power station,580,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite/Bituminous,43.16744,-8.41128,3.170805398,3.170805398,3.170805398,3.170805398,3.170805398,3.170805398
10799,Spain,Narcea power station,65,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,ANTH/Bituminous,43.29226,-6.393269999999999,0.40651476,3.157660004,,,,
10802,Spain,Pasajes power station,214,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,43.32351,-1.91077,1.312700466,0.0,,,,
10803,Spain,Puente Nuevo power station,38,retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Lignite,38.110170000000004,-4.93508,0.24886607600000002,1.886573536,,,,
10806,Spain,Puertollano power station,590,Retired,Not operating,Not operating,Not operating,Not operating,unknown,HARD,38.6505,-4.1218,3.085159945,0.0,,,,
10807,Spain,Puertollano IGCC power station,318,Retired,Not operating,Not operating,Not operating,Not operating,IGCC,HARD,38.659,-3.9806,1.571105264,0.0,,,,
10808,Spain,Soto de Ribera power station,68,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Sub-bit,43.31172,-5.874,0.423733724,2.030569824,,,,
10811,Spain,Teruel power station,368,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite/Sub-bit,40.99722,-0.38069000000000003,2.189429388,6.556389092000001,6.556389092000001,6.556389092000001,6.556389092000001,6.556389092000001
10814,Spain,Torrelavega Mill power station,37,Operating,Not operating,Not operating,Not operating,Not operating,Subcritical,unknown,43.35306,-4.0458300000000005,0.222610618,0.0,,,,
10815,Spain,Velilla del Río Carrión power station,155,Operating,Operating,Operating,Operating,Operating,Subcritical,ANTH,42.818529999999996,-4.8547,0.987974978,3.089990554,3.089990554,3.089990554,3.089990554,3.089990554
10817,Sri Lanka,Lakvijaya Power Plant,300,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,8.0172,79.7225,1.41817575,4.25452725,4.25452725,4.25452725,4.25452725,4.25452725
10821,Sri Lanka,Mawella Coal Power Development Project,300,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,5.988493,80.73593000000001,1.41817575,0.0,,,,
10823,Sri Lanka,Sampur power station,300,Cancelled,Not operating,Operating,Operating,Operating,Subcritical,Unknown,8.486111,81.3,1.41817575,0.0,,0.0,0.0,0.0
10829,Sri Lanka,Southern Coal Power Project,1 200,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,7.0,81.0,5.099518326,0.0,,,,
10833,Sudan,Arkyiai power station,300,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,19.58333,35.61667,1.41817575,0.0,,,,
10835,Swaziland,JSW Swaziland power station,,Shelved,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,-26.3167,31.133000000000003,0.0,0.0,,,,
10838,Swaziland,Mpaka power station,250,Announced,Not operating,Not operating,Not operating,Not operating,Subcritical,ANTH,-26.412,31.78,1.318765266,0.0,,,,
10842,Sweden,Aroskraft-1 power station,75,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,59.58849,16.51386,0.460058575,0.0,,,,
10844,Sweden,Vaesteras power station,40,Operating,Operating,Operating,Operating,Operating,unknown,HARD,59.58845,16.51352,0.242629528,0.485259056,0.485259056,0.485259056,0.485259056,0.485259056
10846,Sweden,Värtaverket power station,141,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,59.353269999999995,18.1009,0.86491012,0.86491012,0.86491012,0.86491012,0.86491012,0.86491012
10847,Syria,SCC Cement power station,30,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,36.2,37.6,0.167602589,0.33520517699999997,0.33520517699999997,0.33520517699999997,0.33520517699999997,0.33520517699999997
10849,Taiwan,Changgong power station,800,Shelved,Not operating,Not operating,Not operating,Not operating,Ultra-super,Unknown,24.089000000000002,120.406,3.268116645,0.0,,,,
10851,Taiwan,Changhua power station,57,Mothballed,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,24.09293,120.5608,0.28936097899999996,0.0,,,,
10854,Taiwan,Chiayi Plant CY power station,40,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,23.51,120.37,0.240660127,0.240660127,0.240660127,0.240660127,0.240660127,0.240660127
10855,Taiwan,Chiutang Mill power station,50,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,22.53,120.3,0.257850136,0.534609283,0.534609283,0.534609283,0.534609283,0.534609283
10856,Taiwan,Haifeng power station,107,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,23.709,120.432,0.633717466,2.875825915,2.875825915,2.875825915,2.875825915,2.875825915
10859,Taiwan,Ho-Ping power station,649,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,24.307779999999998,121.7635,3.067986873,6.135973746,6.135973746,6.135973746,6.135973746,6.135973746
10861,Taiwan,Houli Mill power station,48,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,24.21,120.48,0.288792153,0.517419274,0.517419274,0.517419274,0.517419274,0.517419274
10862,Taiwan,Hsinkang SK power station,56,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,23.51856,120.3749,0.348957185,2.196023662,2.196023662,2.196023662,2.196023662,2.196023662
10866,Taiwan,Hsinta power station,1 000,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,22.85577,120.1972,4.249598605,11.19290281,,,,
10872,Taiwan,Hwa Ya power station,148,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,25.079,121.38799999999999,0.8268394370000001,1.6760258869999998,1.6760258869999998,1.6760258869999998,1.6760258869999998,1.6760258869999998
10874,Taiwan,Jenwu Plant,34,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,22.70164,120.335,0.211866862,2.05012346,,,,
10878,Taiwan,Jinshin Plant,57,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,24.993000000000002,121.3,0.342940681,0.6613856,0.6613856,0.6613856,0.6613856,0.6613856
10880,Taiwan,Kuan-Tien power station,48,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,23.2109,120.3197,0.288792153,0.288792153,0.288792153,0.288792153,0.288792153,0.288792153
10881,Taiwan,Linkou Plant Tp power station,36,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,25.16156,121.3521,0.22432961899999998,0.537187784,0.537187784,0.537187784,0.537187784,0.537187784
10882,Taiwan,Linkou power station,800,Operating,Operating,Operating,Operating,Operating,Ultra-super,Bituminous,25.1209,121.29799999999999,3.217105459,3.217105459,3.217105459,3.217105459,3.217105459,3.217105459
10890,Taiwan,Mailiao Formosa Petrochemical power station,96,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,23.798000000000002,120.20200000000001,0.5685689420000001,1.7767779430000001,1.7767779430000001,1.7767779430000001,1.7767779430000001,1.7767779430000001
10895,Taiwan,Mailiao power station,300,Operating,Operating,Operating,Operating,Operating,Supercritical,Bituminous,23.803420000000003,120.189,1.5943135769999999,18.51856539,18.51856539,18.51856539,18.51856539,18.51856539
10902,Taiwan,Miaoli Petrochemical power station,49,Operating,Not operating,Not operating,Operating,Operating,Subcritical,Unknown,24.56341,120.8258,0.252693134,0.0,,,0.0,0.0
10903,Taiwan,Shenao power station,75,retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,25.1269,121.8154,0.460058575,0.0,,,,
10909,Taiwan,Taichung power station,550,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous/Sub-bit,24.2131,120.485,2.8142155630000003,22.5137245,22.5137245,22.5137245,22.5137245,22.5137245
10910,Taiwan,Taichung power station,550,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous/Sub-bit,24.21942,120.4731,2.579697599,5.159395198,5.159395198,5.159395198,5.159395198,5.159395198
10927,Taiwan,Talin power station,300,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,22.537,120.335,1.740488421,0.0,,,,
10934,Tajikistan,Dushanbe-2 power station,50,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,38.610820000000004,68.77186999999999,0.257850136,2.062801091,2.062801091,2.062801091,2.062801091,2.062801091
10938,Tajikistan,Rasht power station,175,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,39.16787,70.44019,0.9024754779999999,0.0,,,,
10940,Tajikistan,Shurab power station,300,Announced,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,40.11667,70.63333,1.40236754,0.0,,,,
10941,Tanzania,Dar es Salaam power station,400,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,-6.82349,39.26951,1.869823386,0.0,,,,
10942,Tanzania,Kiwira Mine-2 power station,50,Shelved,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,-9.48509,33.67035,0.257850136,0.0,,,,
10946,Tanzania,Magamba power station,200,Shelved,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,-4.75933,38.29979,1.019903665,0.0,,,,
10947,Tanzania,Maturi power station,200,Shelved,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,-9.623,33.875,1.019903665,0.0,,,,
10948,Tanzania,Mbeya Coal to Power Project,300,Permitted,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,-8.5,33.0,1.41817575,0.0,,,,
10949,Tanzania,Mchuchuma power station,150,Shelved,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,-9.25,34.25,0.764927749,0.0,,,,
10953,Tanzania,Mtwara Cement power station,75,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,-10.2736,40.18278,0.386775205,0.0,,,,
10954,Tanzania,Ngaka power station,135,Announced,Not operating,Not operating,Not operating,Operating,Unknown,Unknown,-11.0,36.0,0.6884349740000001,0.0,,,,0.0
10956,Tanzania,Rukwa Coal to Power Project,120,Pre-permit,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,-7.0,31.5,0.611942199,0.0,,,,
10957,Thailand,Bamnet Narong power station,56,Pre-permit,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,15.500279999999998,101.6864,0.285573026,0.0,,,,
10958,Thailand,Bang Saphan power station,250,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,11.21417,99.51194,1.274879582,0.0,,,,
10960,Thailand,Bangkok HSFC Plant power station,36,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,13.75,100.4667,0.20112310600000002,0.20112310600000002,0.20112310600000002,0.20112310600000002,0.20112310600000002,0.20112310600000002
10961,Thailand,Gheco One power station,660,Operating,Operating,Operating,Operating,Operating,Supercritical,Bituminous,12.67465,101.1347,2.69806913,2.69806913,2.69806913,2.69806913,2.69806913,2.69806913
10962,Thailand,Glow Energy power complex,85,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,12.67577,101.1352,0.46746181600000003,3.0970931719999997,3.0970931719999997,3.0970931719999997,3.0970931719999997,3.0970931719999997
10965,Thailand,Hua Sai Coal Power Plant Project,800,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,8.04445,100.2836,3.3996788839999996,0.0,,,,
10966,Thailand,Kao Hin Son power station,150,Announced,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,13.744720000000001,101.3472,0.773550409,0.0,,,,
10970,Thailand,Krabi power station,870,Shelved,Not operating,Not operating,Not operating,Not operating,Unknown,Sub-bit,8.059167,98.91889,3.697150787,0.0,,,,
10971,Thailand,Mae Moh power station,75,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Lignite,18.296,99.75200000000001,0.491183045,14.63386726,,,,
10986,Thailand,Map Ta Phut BLCP power station,717,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,12.6435,101.1605,3.3365351519999997,6.6730703039999995,6.6730703039999995,6.6730703039999995,6.6730703039999995,6.6730703039999995
10988,Thailand,Panare power station,1 000,Shelved,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,6.86,101.4914,4.249598605,0.0,,,,
10989,Thailand,Tha Tum power station,164,Operating,Operating,Operating,Operating,Operating,Subcritical,ANTH/Bituminous,13.93246,101.5876,0.9903001459999999,1.9806002919999999,1.9806002919999999,1.9806002919999999,1.9806002919999999,1.9806002919999999
10991,Thailand,Thap Sakae power station,800,Cancelled,Not operating,Not operating,Not operating,Operating,Unknown,Unknown,11.5,99.62167,3.3996788839999996,0.0,,,,0.0
10995,Thailand,Thepha power station,1 100,Shelved,Not operating,Not operating,Not operating,Not operating,Unknown,Sub-bit,6.828333,100.965,4.674558466000001,0.0,,,,
10997,Thailand,TPI Coal power station,150,Operating,Not operating,Not operating,Not operating,Operating,Subcritical,Unknown,14.6457,101.1273,0.773550409,0.0,,,,0.0
10998,Thailand,Unnamed coal plants 2015-2035,3 000,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,13.75,100.4833,12.74879582,0.0,,,,
10999,Thailand,Wang Sala Mill power station,34,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,13.96667,99.63861,0.20456110800000002,0.20456110800000002,0.20456110800000002,0.20456110800000002,0.20456110800000002,0.20456110800000002
11000,Turkey,Ada Yesildag Enerji power station,1 200,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,36.3761,33.9322,5.099518326,0.0,,,,
11001,Turkey,Ada Yumurtal?k power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,Bituminous,36.843,35.86,2.760956696,0.0,,,,
11003,Turkey,Adana Akdeniz power station,600,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Bituminous,36.8178,35.862159999999996,2.4527901180000002,0.0,,,,
11004,Turkey,Adana Ceyhan power station,800,Cancelled,Operating,Operating,Operating,Operating,unknown,unknown,37.0333,35.8167,3.3996788839999996,5.949438047,5.949438047,5.949438047,5.949438047,5.949438047
11005,Turkey,Af?in-Elbistan-A power station,340,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite,38.34721,37.025999999999996,2.073131196,8.26203756,8.26203756,8.26203756,8.26203756,8.26203756
11009,Turkey,Af?in-Elbistan-B power station,360,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite,38.35329,36.98108,1.9511823019999999,7.8047292079999995,7.8047292079999995,7.8047292079999995,7.8047292079999995,7.8047292079999995
11013,Turkey,Af?in-Elbistan-C power station,1 800,Pre-permit,Not operating,Not operating,Not operating,Not operating,unknown,unknown,38.35082,37.007059999999996,7.64927749,0.0,,,,
11017,Turkey,A?an power station,790,Pre-permit,Not operating,Not operating,Not operating,Not operating,Ultra-super,Bituminous,40.44982,27.30436,3.176891641,0.0,,,,
11019,Turkey,Akdeniz Enerji power station,1 600,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,Lignite,36.20176,33.6714,7.146047187000001,0.0,,,,
11020,Turkey,Aksa power station,142,Operating,Operating,Operating,Operating,Operating,unknown,unknown,40.68927,29.40495,0.724131602,0.724131602,0.724131602,0.724131602,0.724131602,0.724131602
11021,Turkey,Alia?a Enka power station,800,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,38.746,26.912,3.3996788839999996,0.0,,,,
11022,Turkey,Alpu power station,360,Pre-permit,Not operating,Not operating,Not operating,Not operating,Ultra-super,Lignite,39.897,30.862,1.7002028269999998,0.0,,,,
11025,Turkey,Amasra Bart?n power station,600,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Bituminous,41.72704,32.349709999999995,2.4527901180000002,0.0,,,,
11027,Turkey,Antes power station,160,Pre-permit,Not operating,Not operating,Not operating,Not operating,Subcritical,Lignite,37.36667,28.03333,0.8671921340000001,0.0,,,,
11028,Turkey,Astoria Ceyhan power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,unknown,36.90659,35.96236,2.740850353,0.0,,,,
11030,Turkey,Ataka? power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,36.6971,36.2042,2.80473508,0.0,,,,
11031,Turkey,Atlas Enerji power station,600,Operating,Operating,Operating,Operating,Operating,Supercritical,Bituminous,36.69028,36.20909,2.4527901180000002,4.9055802360000005,4.9055802360000005,4.9055802360000005,4.9055802360000005,4.9055802360000005
11033,Turkey,Ayas power station,625,Permitted,Not operating,Not operating,Not operating,Not operating,Supercritical,Bituminous,36.822109999999995,35.86753,2.5549897059999997,0.0,,,,
11034,Turkey,Babadere power station,1 600,Cancelled,Operating,Operating,Operating,Operating,unknown,unknown,39.609,26.189,6.799357768999999,6.799357768999999,6.799357768999999,6.799357768999999,6.799357768999999,6.799357768999999
